"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Shell Script", "YAML", "Ini", "comment", "blank", "total"
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\css\jquery.iviewer.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 16, 92
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\css\prettify(1).css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\css\prettify.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\css\template.css", "CSS", 0, 0, 0, 0, 424, 0, 0, 0, 0, 0, 2, 80, 506
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\deprecated.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\errors.html", "HTML", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 228
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\graph_class.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\img\icons\icon_template(1).svg", "XML", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 1, 2, 94
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\img\icons\icon_template.svg", "XML", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 1, 2, 94
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\index.html", "HTML", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\SVGPan(1).js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 102, 46, 233
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\SVGPan.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 102, 46, 233
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\bootstrap.js", "JavaScript", 0, 0, 1060, 0, 0, 0, 0, 0, 0, 0, 280, 383, 1723
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\bootstrap.min(1).js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery-1.4.2.min.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 19, 1, 155
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery-1.7.1.min(1).js", "JavaScript", 0, 0, 6382, 0, 0, 0, 0, 0, 0, 0, 1257, 1632, 9271
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery-1.7.1.min.js", "JavaScript", 0, 0, 6382, 0, 0, 0, 0, 0, 0, 0, 1257, 1632, 9271
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery-ui-1.8.2.custom.min.js", "JavaScript", 0, 0, 620, 0, 0, 0, 0, 0, 0, 0, 355, 37, 1012
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.cookie(1).js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 53, 2, 104
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.cookie.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 53, 2, 104
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.iviewer.js", "JavaScript", 0, 0, 609, 0, 0, 0, 0, 0, 0, 0, 287, 150, 1046
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.iviewer.min.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 12, 1, 43
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.mousewheel.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.panzoom.js", "JavaScript", 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 24, 62, 467
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.splitter.js", "JavaScript", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 49, 15, 228
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.tools.min(1).js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 19, 0, 115
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.tools.min.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 19, 0, 115
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.treeview(1).js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 46, 20, 256
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\jquery.treeview.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 46, 20, 256
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\menu(1).js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\menu.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-apollo(1).js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-apollo.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-clj.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 15, 1, 19
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-css.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-go.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-hs.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-lisp.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-lua.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-ml.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-n(1).js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-n.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-proto.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-scala.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-sql(1).js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-sql.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
